Combinacion  Frecuencia
es           50501
er           43231
en           39983
ra           39273
de           39019
al           38247
ue           37222
sa           34341
on           34189
qu           33148
os           32630
el           31942
an           30609
or           28900
do           25863
da           23922
co           18655
ot           18096
i´           17646
ab           17588
lo           17569
te           17543
ta           16927
id           16305
ac           16086
nt           15379
mo           14630
st           14057
ma           13985
ic           13641
ie           13481
si           13428
me           13327
ce           12959
tr           12373
in           12259
nd           11717
ia           11351
po           11119
ri           10864
o,           10580
su           10350
mi           9966
nu           9847
ha           9738
o´           9579
pa           9577
cu           8411
a,           8014
ve           7734
s,           7639
a´           7571
e´           7552
ti           7418
nc           6844
pe           6498
ch           6420
jo           6411
li           6319
ui           6231
ho           5907
ag           5887
vi           5680
e,           5263
br           4941
ua           4930
ij           4896
io           4861
za           4667
r´           4515
ib           4505
go           4395
gu           4345
up           4225
be           4169
ge           4099
ru           4077
um           4012
dr           4001
ig           3995
pr           3973
du           3936
m´           3874
sp           3796
va           3647
yo           3609
ej           3536
u´           3534
rc           3504
tu           3417
ob           3403
ja           3137
lu           3116
vo           2864
ya           2840
añ           2816
gr           2792
sc           2759
bu           2736
eñ           2689
s´           2671
ño           2633
ns           2562
t´           2540
d´           2458
mp           2336
fu           2262
uv           2245
ea           2244
he           2238
rm           2220
ng           2195
pi           2183
o.           2124
b´           2020
a.           2016
aq           1923
zo           1910
fi           1899
c´           1874
bl           1838
mb           1709
r,           1701
y,           1693
hi           1682
lg           1678
n,           1636
s.           1592
fa           1575
rs           1543
fe           1541
rn           1540
ez           1508
l´           1448
rq           1439
rl           1402
uj           1396
nz           1322
pl           1270
n´           1226
uy           1201
lt           1141
cl           1118
g´           1109
ey           1107
of           968
sm           949
e.           946
lv           884
eo           864
i,           805
hu           789
z´           779
lm           739
fr           738
l,           733
d,           683
ld           669
iz           634
nq           596
nf           573
p´           520
v´           506
nv           467
rv           448
n.           424
h´           329
j´           325
sd           323
rz           322
dm           302
uz           297
fl           269
r.           266
sl           264
zc           236
nm           212
sf           207
ct           200
ex           177
iq           174
y´           173
eq           169
sg           167
iñ           157
f´           157
z,           149
nj           146
lz           146
sq           143
oq           141
sv           128
ñ´           126
nl           125
uñ           123
dv           122
d.           117
sh           110
i.           100
ao           95
zg           91
xi           90
uo           83
lq           81
.l           74
rj           73
u,           65
xc           62
pt           56
xp           54
bs           37
xl           35
h,           30
zq           29
lh           29
xv           28
v.           25
xt           24
x.           22
zm           21
xa           20
y.           16
z.           16
nh           15
.,           13
lj           10
bj           9
.b           8
.c           8
x,           7
t,           7
xm           7
dq           6
dh           5
gm           5
ox           4
zb           4
u.           4
m,           4
ux           3
zp           3
bc           3
,q           3
pc           3
wa           2
.p           2
iy           2
c,           2
t.           2
ym           2
hr           2
mq           1
,v           1
dj           1
bd           1
cm           1
sj           1
xh           1
ry           1
b,           1
yt           1
bt           1
yl           1
m.           1
