Combinacion  Frecuencia
ne           2820
es           2756
er           2594
ar           2478
ed           2279
on           2138
al           2133
ic           2107
os           2008
ro           1770
in           1724
el           1664
na           1661
as           1603
te           1532
ti           1427
ac           1317
id           1289
da           1255
co           1218
lo           1165
ta           1154
io           1135
si           1095
nt           1076
ma           1024
i´           1019
om           998
un           963
to           929
rt           924
od           887
il           883
st           847
ri           845
ue           840
ce           828
me           827
´o           721
op           705
ap           680
ai           647
ng           629
pr           589
uc           580
im           567
qu           517
a´           506
au           505
us           501
ep           462
ut           458
ie           444
ba           430
gu           415
mu           411
e´           403
ve           384
ct           372
eb           370
nc           355
iv           347
bi           345
nd           337
ru           333
s,           330
ul           327
eg           317
og           316
du           309
ga           301
fo           294
ha           290
mp           286
cr           274
gr           267
if           264
ea           249
rm           248
m´           247
ig           243
s.           237
za           232
ns           232
br           231
va           225
bl           225
r´           222
rn           214
pu           213
gl           197
we           196
sp           196
lt           192
ob           192
l´           187
ex           178
rs           176
ch           176
u´           174
ej           169
mb           165
pi           162
t´           162
pl           160
iz           158
o,           156
sc           152
ef           151
fr           149
ui           138
a.           138
vo           137
o.           134
añ           129
a,           129
ho           127
ht           125
ja           117
pt           113
oy           111
dr           110
bu           105
nf           104
cl           98
fu           97
ya           96
fa           89
n,           85
ye           83
ño           81
he           81
uy           80
c´           79
sm           77
rv           76
.e           75
c.           71
g´           69
xt           66
w.           65
s´           65
eo           64
l,           61
nv           60
n´           57
e,           56
xp           56
lr           53
jo           53
n.           53
hi           51
lm           50
ki           49
ou           49
p´           49
wo           47
uj           44
xi           40
wi           40
nz           39
sl           39
ez           38
yr           37
hn           37
l.           36
t.           34
zo           32
d´           32
ld           30
sy           30
rk           29
hu           29
v´           29
b.           28
r,           26
tm           25
b´           24
t,           23
eq           22
ds           22
d.           21
ft           21
iq           21
i.           21
sf           21
nj           20
eñ           20
nl           20
wa           19
bs           19
b,           18
sh           17
i,           16
aq           16
lq           15
oa           15
ke           15
rz           15
ox           15
lv           14
cp           14
ty           14
nm           14
dm           14
y.           14
xc           13
ka           13
cy           13
nk           13
ok           13
nb           13
g,           12
tw           12
x.           12
bj           12
ly           12
z´           12
fl           11
d,           11
sq           11
df           11
gy           11
.u           11
ws           10
nq           10
r.           10
by           9
y,           9
f´           9
h´           9
ck           8
rq           8
tg           8
g.           8
dw           7
.h           7
bt           7
xa           7
pd           7
mh           7
sg           6
k,           6
ku           6
py           5
zc           5
wl           5
ji           5
xm           5
ks           5
cd           5
.f           5
f,           4
dy           4
mc           4
c,           4
dq           4
dt           4
p.           4
xr           4
y´           4
gh           3
k.           3
uz           3
h,           3
rj           3
ph           3
z.           3
m,           3
my           3
wh           3
bh           3
ky           3
xf           3
iñ           2
gm           2
zd           2
hr           2
oq           2
uv           2
gf           2
kw           2
hy           2
hl           2
z,           2
m.           2
dk           2
ñ´           2
uw           1
iy           1
sv           1
p,           1
pg           1
wr           1
kt           1
ux           1
bv           1
cg           1
wn           1
yn           1
dv           1
gd           1
.j           1
j´           1
