Combinacion  Frecuencia
ra           4089
es           3876
re           3694
ne           3356
la           3252
ed           3234
on           2661
os           2377
sa           2348
ad           2325
el           2313
ro           2292
an           2159
ue           2106
at           1990
co           1755
qu           1712
is           1689
i´           1683
te           1672
nt           1561
am           1548
od           1542
ba           1488
tr           1481
me           1438
di           1420
ca           1406
o´           1313
ri           1306
st           1300
ai           1279
ci           1271
ce           1196
in           1169
ei           1149
ot           1136
un           1115
lo           1106
su           1074
mo           1015
im           1005
pe           928
nd           927
pa           921
ha           896
e´           894
po           813
it           766
r´           754
a´           705
li           696
pr           637
ve           630
a,           619
uc           592
o,           527
vi           505
ur           505
io           482
ui           471
a.           467
u´           416
nc           408
br           407
ga           404
ge           402
pu           393
ib           392
vo           392
rd           388
az           385
m´           382
mp           380
um           375
gr           374
oj           374
sp           373
du           365
gu           360
va           357
s,           355
ig           354
o.           348
aj           342
bl           315
ch           310
ay           309
au           308
ho           303
uv           290
rc           283
je           281
og           275
ns           271
t´           270
be           269
ut           268
s.           254
ob           253
e,           247
pi           241
rm           239
fe           238
ij           230
ul           229
ña           228
if           219
yo           216
ño           216
s´           215
eñ           203
ng           198
e.           198
b´           196
ex           195
mb           191
c´           187
sc           186
d´           181
bu           180
fu           179
ea           177
he           163
rs           161
lp           161
hi           150
rl           146
ez           144
th           140
oz           138
hy           137
ys           137
ju           137
cl           134
lt           131
af           129
z´           119
ct           117
n´           116
n,           113
lv           109
of           106
iz           105
nf           101
aq           101
l´           101
lg           96
fr           91
g´           88
r.           85
nz           85
nr           84
i,           84
.n           80
nq           80
r,           80
p´           72
sm           71
rv           70
uy           70
sd           64
hu           63
d,           63
dm           63
xc           62
nv           61
rq           55
xi           54
v´           54
d.           53
lm           52
ld           50
eo           49
ey           49
j´           49
xp           44
ao           44
l.           41
ls           39
h´           38
rz           37
nm           36
i.           36
xt           35
l,           34
iñ           33
y´           31
bs           30
sg           29
sq           27
sf           26
fl           26
h,           24
nj           22
zc           22
eq           22
y,           19
zu           18
xo           17
uñ           13
z,           13
bj           12
f´           12
tp           11
lz           11
uo           11
iq           9
bn           8
sh           8
dv           7
xa           7
ñ´           7
z.           6
sv           5
xh           5
ux           5
u,           4
bt           4
ck           3
.p           3
zg           3
gm           3
zm           3
pc           3
u.           3
y.           3
by           2
nl           2
sw           2
we           2
oq           2
w.           1
pg           1
gd           1
dp           1
h.           1
bd           1
dq           1
t,           1
lq           1
bc           1
.,           1
k,           1
hm           1
t.           1
gh           1
m.           1
ok           1
ik           1
