Combinacion  Frecuencia
es           5719
re           4892
ne           4762
ra           4621
ed           4112
so           4057
la           3884
on           3775
an           3603
el           3470
as           3273
ro           3157
ue           2576
ad           2464
at           2428
oc           2359
te           2354
ic           2307
od           2294
un           2256
lo           2196
qu           2176
ca           2122
i´           2082
nt           1989
is           1904
in           1852
ot           1845
me           1827
di           1818
ce           1777
om           1774
st           1717
am           1673
ri           1664
ia           1571
ti           1535
ba           1502
tr           1455
ei           1393
po           1261
mi           1233
pa           1192
ha           1103
us           1087
li           1018
pe           986
a´           954
nd           906
uc           903
ev           831
vi           807
o´           797
o,           784
io           778
e´           721
s,           717
r´           697
pr           674
ga           667
og           648
ib           642
nc           637
ur           615
gi           600
br           590
eg           575
ho           560
o.           543
a,           529
mu           511
va           505
ul           502
ui           494
ut           492
s.           481
ua           481
oy           480
añ           479
dr           468
ug           463
u´           461
ch           459
m´           456
pu           455
mb           453
bo           443
a.           443
rc           437
gr           429
bl           423
sp           411
e,           411
mp           406
du           405
je           389
be           377
ns           363
if           360
ay           352
ef           319
az           307
aj           305
ño           304
ng           297
pi           295
vo           291
rs           287
ct           285
lg           280
t´           266
he           264
l´           251
sc           250
rm           247
bu           241
ea           241
rl           239
ex           233
fa           227
c´           213
fu           201
e.           196
of           194
jo           193
ju           192
lp           192
s´           182
sm           181
lt           179
ez           168
rn           166
uy           165
eñ           159
cl           154
d´           148
.r           145
eo           140
n,           140
n´           140
fr           137
aq           125
hi           112
.n           111
b´           110
r,           108
nf           107
hu           104
g´           100
ix           99
iz           95
zo           89
rv           83
ij           83
nv           82
rq           81
ye           81
f´           80
l.           77
lm           76
p´           76
d,           75
y,           74
l,           73
d.           73
uv           72
bs           65
nq           61
nz           60
sd           57
v´           55
sf           54
lv           53
xc           51
h´           49
xt           48
i,           48
tp           47
iñ           47
xp           46
fl           45
ls           43
z´           43
ou           34
uz           34
eq           34
nm           34
ld           29
zc           29
rz           29
dm           28
ao           27
lq           26
iq           26
z,           25
nj           24
sg           22
xa           21
j´           19
dq           18
i.           18
xv           16
bj           15
ik           14
ñ´           14
uñ           13
ox           12
sh           11
th           10
c.           10
dv           10
we           9
bt           9
pc           8
sq           8
zg           7
ck           6
ko           6
z.           6
ow           5
yd           5
.,           5
zm           5
bd           5
ak           4
rk           4
aw           4
y.           4
oq           4
rx           4
x´           4
y´           4
k´           4
h,           3
w,           3
ry           3
xu           3
c,           3
xh           3
by           2
nl           2
p.           2
sv           2
wi           2
tm           2
xf           2
g.           2
lz           2
yl           2
ks           2
lh           2
tz           2
xq           2
dj           2
nb           2
dp           1
tk           1
rw           1
u,           1
t,           1
pz           1
dh           1
ny           1
zq           1
u.           1
j,           1
jt           1
sw           1
cq           1
x,           1
gm           1
w.           1
wh           1
ky           1
np           1
pf           1
f,           1
ke           1
nh           1
