Combinacion  Frecuencia
la           37677
re           37629
es           36593
ar           35890
ed           33569
en           30559
le           28698
as           28111
on           27124
na           26489
os           24645
ab           24497
ro           24100
i´           22137
ad           19796
ue           19734
od           19350
co           18657
qu           17982
ia           17770
ta           17464
ol           15463
ac           14942
te           14905
is           14211
ci           13749
nt           13577
ma           12612
to           12595
om           12080
id           12060
st           11617
in           11552
ri           11509
ce           10663
su           10580
rt           10486
un           9849
pa           9381
o´           9285
me           9093
ti           9041
po           8485
ei           8159
pe           8067
mi           7676
li           7500
ha           7409
ve           6803
a´           6614
nd           6263
a,           6230
o,           6005
uc           5845
e´           5785
ag           5419
vi           5349
pr           4983
io           4957
ig           4874
s,           4790
eg           4599
a.           4186
r´           4165
ur           4147
nc           4140
ib           4095
o.           3980
m´           3972
um           3970
br           3876
ul           3803
za           3657
ch           3608
u´           3598
ho           3572
tu           3566
va           3453
ob           3394
dr           3296
b´           3290
up           3192
sp           3089
ui           3083
mp           3075
ua           3068
gr           3056
gu           3054
aj           3052
cr           3039
jo           3026
eb           2966
og           2950
ej           2922
pi           2891
s.           2791
ov           2774
du           2663
aq           2651
c´           2552
bl           2535
ns           2497
añ           2497
ño           2358
s´           2327
fe           2310
t´           2309
if           2257
bu           2237
e,           2184
ay           2142
sc           2115
d´           2040
l´           2036
rm           1941
mb           1933
yo           1800
ez           1774
rs           1718
zo           1623
n´           1611
eñ           1595
ea           1580
e.           1524
fu           1522
fa           1453
pl           1436
ct           1431
ng           1430
lg           1426
lv           1413
cl           1411
he           1369
r,           1357
lt           1342
rl           1310
rf           1294
ju           1288
n,           1215
rn           1169
of           1162
nf           1126
ex           1109
v´           1088
hi           1084
ij           996
sm           986
uy           905
rq           901
eo           882
hu           880
g´           830
l,           807
p´           805
r.           777
ey           766
nv           720
n.           703
vu           687
nz           654
lm           651
i,           568
iz           555
rv           516
ld           499
d,           485
l.           465
bs           457
nq           447
zu           415
lf           403
iñ           383
d.           359
z´           355
f´           336
xp           310
nm           292
sd           288
uo           263
iq           261
sf           260
sl           252
rz           252
ix           252
j´           234
h´           233
xt           231
z,           220
bd           215
xc           201
i.           196
y´           196
sg           164
pt           163
nj           146
dm           137
sq           135
zc           134
uñ           127
eq           125
ao           122
z.           122
xa           119
ñ´           108
oq           105
lq           103
h,           98
y,           95
lz           82
ox           81
sh           54
pc           52
y.           52
.,           50
bj           49
c.           49
rj           47
dv           45
sv           44
gm           38
zg           31
u.           29
ck           27
tm           27
nh           27
u,           27
ux           25
zq           24
ke           21
nl           20
dq           20
bt           19
v.           17
lh           13
bn           13
th           12
xq           12
xv           12
ka           11
p.           11
lk           10
wa           9
c,           9
b.           8
zm           7
k,           7
ny           7
t,           7
x´           7
wi           6
m,           6
.m           6
by           5
zb           5
t.           5
xh           5
j.           4
rw           4
j,           4
dy           4
ki           4
q.           4
h.           4
dj           3
cb           3
bv           3
we           3
ko           3
gd           3
zp           2
x,           2
ph           2
rk           2
yr           2
gt           2
yi           2
dh           2
g,           1
f.           1
tz           1
mq           1
gh           1
fm           1
k.           1
gy           1
pb           1
nx           1
ys           1
td           1
w´           1
